"hs6_query","national_tariff_code","unit","description","import_rate","export_rate","trq","sst","excise","cess_1","cess_2","cess_3","source_file","source_sha256"
"870322","8703221300","u","- - - - Ambulances","5%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703221400","u","- - - - Hearses","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703221500","u","- - - - Prison vans","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703221600","u","- - - - Motor-homes","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703221700","u","- - - - Sedan","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703222100","u","- - - - - Of four-wheel drive","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703222900","u","- - - - - Other","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703223000","u","- - - - Other","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703224100","u","- - - - Go-karts","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703224200","u","- - - - All-Terrain Vehicles (ATV)","30%","0%","","10%","65%","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703224300","u","- - - - Ambulances","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703224400","u","- - - - Hearses","30%","0%","","10%","65%","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703224500","u","- - - - Prison vans","30%","0%","","10%","65%","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703224600","u","- - - - Motor-homes","35%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703224700","u","- - - - Sedan","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703225100","u","- - - - - Of four-wheel drive","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703225900","u","- - - - - Other","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703229000","u","- - - - Other","30%","0%","","10%","60%","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870323","8703231100","u","- - - - Ambulances","5%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703231200","u","- - - - Hearses","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703231300","u","- - - - Prison vans","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703231400","u","- - - - Motor-homes","35%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703232100","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703232200","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703232300","u","- - - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 2,500 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703232400","u","- - - - - Of a cylinder capacity exceeding 2,500 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703233100","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703233200","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703233300","u","- - - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 2,500 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703233400","u","- - - - - Of a cylinder capacity exceeding 2,500 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703233500","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703233600","u","- - - - - Of a cylinder capacity exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703234100","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703234200","u","- - - - - Of a cylinder capacity exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703235100","u","- - - - Ambulances","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703235200","u","- - - - Hearses","30%","0%","","10%","90%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703235300","u","- - - - Prison vans","30%","0%","","10%","90%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703235400","u","- - - - Motor-homes","35%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703235500","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703235600","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","30%","0%","","10%","80%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703235700","u","- - - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 2,500 cc","30%","0%","","10%","90%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703235800","u","- - - - - Of a cylinder capacity exceeding 2,500 cc","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703236100","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703236200","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","30%","0%","","10%","80%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703236300","u","- - - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 2,500 cc","30%","0%","","10%","90%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703236400","u","- - - - - Of a cylinder capacity exceeding 2,500 cc","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703236500","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703236600","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","30%","0%","","10%","80%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703236700","u","- - - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 2,500 cc","30%","0%","","10%","90%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703236800","u","- - - - - Of a cylinder capacity exceeding 2,500 cc","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703237100","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","30%","0%","","10%","65%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703237200","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703237300","u","- - - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 2,500 cc","30%","0%","","10%","90%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870323","8703237400","u","- - - - - Of a cylinder capacity exceeding 2,500 cc","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870323.html","39557ed62d3f836d5cdf76f34bf6444ed27221394316686301c71ae481c45ad0"
"870324","8703241100","u","- - - - Ambulances","5%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703241200","u","- - - - Hearses","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703241300","u","- - - - Prison vans","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703241400","u","- - - - Motor-homes","35%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703241500","u","- - - - Sedan","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703242100","u","- - - - - Of four-wheel drive","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703242900","u","- - - - - Other","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703243000","u","- - - - Other","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703244100","u","- - - - Ambulances","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703244200","u","- - - - Hearses","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703244300","u","- - - - Prison vans","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703244400","u","- - - - Motor-homes","35%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703244500","u","- - - - - Of four-wheel drive","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703244900","u","- - - - - Other","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703245100","u","- - - - - Of four-wheel drive","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703245900","u","- - - - - Other","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703246100","u","- - - - - Of four-wheel drive","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870324","8703246900","u","- - - - - Other","30%","0%","","10%","105%","","","","JKDM_HS_Explorer_PDK2025_870324.html","d91a81f505e9df3767bf92573a75066a3833b60c6b9790d5772ada4d387e64b2"
"870331","8703311100","u","- - - - Go-karts","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703311200","u","- - - - All-Terrain Vehicles (ATV)","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703311300","u","- - - - Ambulances","5%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703311400","u","- - - - Hearses","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703311500","u","- - - - Prison vans","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703311600","u","- - - - Motor-homes","35%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703311700","u","- - - - Sedan","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703312100","u","- - - - - Of four-wheel drive","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703312900","u","- - - - - Other","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703313100","u","- - - - - Three-wheeled vehicles","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703313900","u","- - - - - Other","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703314100","u","- - - - Go-karts","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703314200","u","- - - - All-Terrain Vehicles (ATV)","30%","0%","","10%","65%","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703314300","u","- - - - Ambulances","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703314400","u","- - - - Hearses","30%","0%","","10%","65%","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703314500","u","- - - - Prison vans","30%","0%","","10%","65%","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703314600","u","- - - - Motor-homes","35%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703314700","u","- - - - Sedan","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703315100","u","- - - - - Of four-wheel drive","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703315900","u","- - - - - Other","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703319100","u","- - - - - Three-wheeled vehicles","30%","0%","","10%","60%","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870331","8703319900","u","- - - - - Other","30%","0%","","10%","60%","","","","JKDM_HS_Explorer_PDK2025_870331.html","8745e562bdbb61249444ed0325a7ea6b67e07136706cdd42597a3d2150cbcb30"
"870332","8703321100","u","- - - - Ambulances","5%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703321200","u","- - - - Hearses","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703321300","u","- - - - Prison vans","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703321400","u","- - - - Motor-homes","35%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703322100","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703322200","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703322300","u","- - - - - Of a cylinder capacity exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703323100","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703323200","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703323300","u","- - - - - Of a cylinder capacity exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703323400","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703323500","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703323600","u","- - - - - Of a cylinder capacity exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703324100","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703324200","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703324300","u","- - - - - Of a cylinder capacity exceeding 2,000 cc","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703325100","u","- - - - Ambulances","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703325200","u","- - - - Hearses","30%","0%","","10%","90%","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703325300","u","- - - - Prison vans","30%","0%","","10%","90%","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703325400","u","- - - - Motor-homes","35%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703326100","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703326200","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","30%","0%","","10%","80%","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703326300","u","- - - - - Of a cylinder capacity exceeding 2,000 cc","30%","0%","","10%","90%","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703327100","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc :","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703327200","u","- - - - - Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","30%","0%","","10%","80%","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703327300","u","- - - - - Of a cylinder capacity exceeding 2,000 cc","30%","0%","","10%","90%","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
"870332","8703327400","u","- - - - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 1,800 cc","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870332.html","c8b91df38fb1e8aafe8af2fe75c27b7ca84cbefe3905dd646dc4d4397024a026"
